0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.31895682,0.29546088,0.22333479,0.14780928,0.0,0.041919462,0.15549296,0.028590731,0.0,0.108156696,0.0,0.10627047,0.0
0.0,0.0,0.0,0.42983466,0.5311203,0.0,0.12739933,0.11784725,0.0,0.50217605,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.006827142,0.58220446,0.02519982,0.0,0.0,0.0,0.18218684,0.0,0.21097046,0.0,0.0,0.35973155,0.0
0.0,0.0,0.0,0.4997069,0.45563966,0.24334711,0.3072046,0.109367415,0.079473704,0.0,0.0,0.06917323,0.0,0.0,0.24062498,0.0
0.0,0.015547076,0.0,0.13963647,0.32983458,0.011101815,0.10904014,0.0,0.0,0.26390475,0.14017883,0.1319065,0.0,0.0,0.10275164,0.0
0.0,0.0,0.0,0.70231503,1.0225564,0.7662203,0.22992955,0.0,0.2626443,0.0,0.0,0.0,0.0,0.0,0.5740972,0.0
0.0,0.27583727,0.28103638,0.07931167,0.1341213,0.1125894,0.11702687,0.0,0.0,1.301455,0.63969207,0.3556988,0.0,0.0,0.0,0.09861446
0.0,0.0,0.0,0.062092848,0.5123929,0.0,0.04017949,0.056691933,0.0,0.32209015,0.0,0.0,0.14273174,0.0,0.0,0.08730308
0.0,0.042525705,0.0,0.058403607,0.47136414,0.0,0.17346217,0.0,0.0,0.60849136,0.09278636,0.09511055,0.0,0.0,0.40365013,0.2817317
0.0,0.22809216,0.03457333,0.034199692,0.03650345,0.0,0.097450495,0.0,0.006614345,0.45016474,0.2242386,0.04019558,0.0,0.0,0.03085787,0.0
0.0,0.0,0.0,0.15820755,0.19280164,0.1604389,0.0,0.04158931,0.0,0.4166754,0.2114134,0.0,0.0,0.0,0.13423833,0.0
0.0,0.41500488,0.0,0.09099458,0.31930375,0.0,0.16907461,0.0,0.0,0.6248042,0.092233256,0.0,0.0,0.0,0.0,0.2425898
0.0,0.0,0.0,0.0,0.27236927,0.23063186,0.1768319,0.21200757,0.12980935,0.15846954,0.051169924,0.11625409,0.0,0.0,0.16012175,0.0
